id,question,answer
147,我刚带上矫正器几天，牙齿酸胀不能咬物，口腔黏膜也破了，WHY？,固定矫正器是通过特殊材料粘结在牙齿上的，其中两到五天里，牙齿可能因受力而感到酸痛。口腔粘膜也可能被矫治器擦伤，但这些都是能忍受和预防的，而且一个星期后会自动消失，一般不需要吃药，以后每次复诊后患者也许会感觉牙齿发紧、疼痛，但很轻微，相反，剧烈疼痛则是不正常的。
148,我正在矫正过程中，托槽/带环掉了一个，怎么办？,预约患者尽快复诊。并向患者阐明：吃的方面要注意，太硬、太粘的食物会将矫治器损坏或致其脱落，从而影响治疗效果（这些食物包括：硬糖、软糖、话梅、花生、，骨头、烧烤、甘蔗、苹果、梨子等等）。而日常的米饭、青菜、鸡蛋、肉等都可照吃不误，有些食物实在想吃，比如排骨、鸡鸭，可以把肉剔下来享用，苹果梨子可以削成片吃，甘蔗可以榨汁喝。
149,矫治后为什么会复发？,牙颌畸形矫治后复发的原因主要有以下几个方面：①牙齿经矫治移动后，被拉伸或压缩的牙龈及牙周膜纤维的张力尚未建立新的平衡，牙齿的位置就不稳定，容易复发。同时，牙槽骨由过渡性骨改建成正常牙槽骨也需要一定的时间。②咬合平衡未完全建立。矫治后新建立的合关系还未达到合面恰好吻合与牙尖斜面的接触关系，需要不断调整，在调整过程中牙颌畸形有复发的倾向。③口颌系统神经肌肉动力平衡的改建未完成，将对矫治后的牙、牙弓或颌骨位置产生不利影响而引起复发。④口腔不良习惯未破除，可能导致复发。⑤矫治完成，如处在生长发育期，则受生长型的影响，牙颌畸形有复发的趋势。
150,怎样防止复发？,矫治后，为了防止牙颌畸型的复发，需要采取适当的措施，一般多采用保持器保持法，其中以活动保持器较为常用。
151,牙齿矫正后会松动吗？,在正常情况下，每个牙都有一定的生理动度以便能缓冲咀嚼压力，防止牙齿受创伤。在做矫正治疗时，牙齿松动度增加，这是正常反应。但牙齿矫正到正常位置停止移动后，牙齿能够能通过自身的修复能力变稳固，不会发生永久性损伤。但如果临床操作不正规，加力过大或者患者治疗期间口腔卫生保持不好，引起牙槽骨高度明显降低，矫正后有松动的可能。
152,矫正牙齿需要多久复诊一次？,第一个月需要做一些检查并制定矫正方案、做矫治前准备，要每周来一次，戴上矫治器后一般一个月复诊一次。
153,如果我现在开始，多久可以戴上矫治器？,这要医生检查过你的口腔后，视具体情况而定，如果不须拔牙，只要一周就可以戴上，如果需要拔牙，一般得三周左右时间。
154,什么叫固定矫治？,固定矫正器是要粘在牙齿上，患者不能自行取下的的一种矫正器。由粘结在牙面上的托槽、带环和弹性的弓丝组成，是目前的主流矫正器。矫正效果好，适用于各种复杂的错颌，缺点是给患者口腔卫生保持带来困难，但这个困难只要用心就能克服。
155,什么叫活动矫治？,活动矫正器是患者可以自行取戴的一种矫正器，外观与活动假牙相似，由各种弹簧附件及基托组成，优点是可以自行取戴，利于口腔卫生保持，但矫正能力有限，只能用于简单的牙齿矫正。
156,牙齿矫正前都需要作哪些检查？,首先医生需要对患者的口腔情况进行仔细检查，并记录在病历（包括牙齿萌出情况，是否有龋齿、缺牙，有间隙或拥挤，牙齿的咬合情况等），然后取一副牙齿的模型，并拍摄两到三张X线片。医生将基于这些临床资料，为患者制定合理的矫正计划。
157,我正在学习语言，矫正牙齿会影响发音吗？,刚戴时会不适应，很快就会习惯的。正如吃口香糖，初习者会觉得口中有异物影响说话，但习惯后口中多粒口香糖是不会使你言语不清的，同理。
158,戴了矫正器我可以正常进食吗？,矫治牙齿不会影响吃饭。吃的方面也要注意，太硬、太粘的食物会将矫治器损坏或致其脱落，从而影响治疗效果（这些食物包括：硬糖、软糖、话梅、花生、，骨头、烧烤、甘蔗、苹果、梨子等等）。而日常的米饭、青菜、鸡蛋、肉等都可照吃不误，有些食物实在想吃也不是没有办法的，比如排骨、鸡鸭，可以把肉剔下来享用，苹果梨子可以削成片吃，甘蔗可以榨汁喝，这样看来，吃的方面不会有太大影响。
159,矫正牙齿一共需要多长时间？,矫正时间和患者牙齿错位程度、骨质情况、患者年龄、患者的配合情况等有关，一般要2年左右。错位越厉害需要的时间越长，年龄越大骨改建能力越差需要的时间越长。对于适龄的青少年的简单病历可能1年多就结束，如果是大龄的复杂病历有可能3年也不止。
160,矫正一口牙齿需要多少钱，是一次支付还是分次？,大约需要****元到*****元，每个患者的具体情况不同，矫正难度不同，选用的矫正器不同，价格都不尽相同。支付方式… …
161,隐形的矫正器和传统的矫正器有何区别，哪个好？,传统的固定矫正器由金属托槽粘于牙外面，对美观有一定影响，所谓隐形矫正是指使用透明托槽、舌侧托槽等技术，以达到美观效果。但矫正效果还是传统金属矫正器最可靠。隐性矫治技术目前主要包括固定矫治器的透明托槽、舌侧矫治技术、可摘戴的活动的Invisalign 。透明托槽--隶属于目前流行的直丝弓技术。在各种隐形矫正器中适应症最广，矫治效果最可靠，但隐性效果最差。舌侧矫治技术 由于把托槽弓丝置于舌侧，因而隐性效果较好。但舒适度差。治疗难度高。很少大夫愿意采用。Invisalign戴用舒适美观。但是舌侧矫治、Invisalign的适用范围都较小，效果相对不可靠。
162,牙齿不齐如果不矫正会有什么危害？,"1)儿童反颌不及时矫正会影响面部发育，长大后面形凹陷或面形不对称；
2)牙齿不齐不易清洁，易患龋齿和牙周病，导致牙齿过早脱落（40~50岁）；
3)会影响正常的口腔功能，如：前牙开颌影响发音，后牙锁颌影响咀嚼，下颌后缩严重会影响呼吸等；
4)影响容貌外观，并可能使患者形成严重的心理和精神障碍；
5)可对全身健康产生不良影响，如：因咀嚼功能下降引起消化不良及胃肠疾病。
"
163,我的牙齿前突，是**情况，请问是光做矫正就可以还是需要作手术？,牙齿前突分为牙性前突和骨性前突，如果是牙性或轻度的骨性前突，可以通过固定矫正加以治疗，如果是较重的骨性前突，则需要配合手术治疗。您的具体情况是那种，需要医生为您检查后，并做必要的数据测量分析，才能客观的确定。
164,戴上矫正器还能刷牙吗？,佩带矫正器后，患者最重要的任务就是好好刷牙。因为矫正牙齿大部分的不良反应都是缘于牙齿的清洁问题，譬如牙齿表面脱矿、牙齿明显松动、牙龈肿胀等等。刷好牙是成功矫正的基础，当然，戴上矫正器后，刷牙会不方便，但只要足够认真、方法正确，就能刷好。
165,我的保持器要戴多久？,保持器戴用时间与患者年龄、牙齿错位的类型、程度、矫治方法、疗程等因素密切相关，从数月到数年，甚至终生保持的都有。一般半年到一年。最初要24小时戴，然后改为只是晚上戴，再隔日晚上戴。
166,前牙蛀了补过几次，总是掉，而且不好看，有啥好办法？,前牙龋齿当范围较大，补舞就是容易脱落，产生继发龋，每次重补都要把洞磨大一点，这样反复补几次，牙齿就剩得很少了，而且不美观，这种情况应该作烤瓷牙一次修复，既美观又对牙齿保护好，也是目前对前牙龋齿比较理想的治疗方法。
167,有颗牙只剩牙根了，可以利用吗？还是拔了？,只剩牙根的牙齿不要轻易拔除，而应该尽量保留。只要牙根是健康的，就可以在上面作一个桩，再在桩的基础上作一颗烤瓷牙，既桩冠修复。这种修复的牙齿功能接近自然牙。当然，如果牙根太糟糕，就只能拔除了。
168,我前牙釉质发育不全，很难看且不结实，有办法改善吗？,前牙釉质发育不全（或四环素牙）影响美观，且因釉质不牢固，对牙齿保护得不好。可以将发育不全的釉质磨掉，并以烤瓷牙修复，美观与牙齿健康一举两得。
169,我缺了一颗牙，怎么装上？,目前对于缺牙修复，有两种比较理想的方法，一种是烤瓷牙，需要把前后的牙齿磨小作基牙，像搭桥一样，把缺牙修复上；另一种是种植牙，要先在牙床上植入一颗人工牙根，再在上面作一个牙冠。这两种方法比活动假牙不仅舒适美观，其功能恢复也较活动假牙有天壤之别，几乎可以和自然牙媲美。不过，您可不可以选择这两种方式，还需医生检查后才能确定。
170,作一颗烤瓷牙多少钱？,烤瓷牙有很多种类，不同种类价格也有较大差别。烤瓷牙根据材料大致分为以下几种：普通烤瓷牙、钛合金烤瓷牙，贵金属烤瓷牙，全瓷牙。价格分别为：… …
171,我前牙很龅，想做烤瓷牙矫正，是不是要抽神经？有什么后果？,如果不想作正畸，而是选择烤瓷牙矫正，有可能需要抽神经。如果你是成年人，牙齿已经发育完成，抽神经没有太大影响。（牙齿失去一部分给养，变脆弱一点，但外有烤瓷牙保护，没有什么问题）
172,做烤瓷牙麻烦吗？需要就诊几次？,做烤瓷牙不麻烦，只需就诊两次。第一次医生会为你预备牙齿，然后取一副模型，并制作临时牙；第二次来一般要间隔一周，将做好的烤瓷牙戴上就可以了。
173,烤瓷牙是如何固定在基牙上的？会掉吗？,烤瓷牙的固位力主要依赖烤瓷牙与基牙的密合，并以专用的牙科粘结剂粘结，使之固定在基牙上，很少脱落。
174,前牙不整齐，是矫正好还是做烤瓷牙好？,如果时间允许，患者可以接受，还是建议做正畸矫正，特别使年轻患者。如果因为患者的特殊原因（比如时间要求、工作要求等）而无法做正畸矫正，或者患者的条件不适合做正畸矫正，那可以选择烤瓷牙修复，同样可以达到整齐美观的效果。
175,我想做烤瓷牙，但不知道哪种材料的烤瓷牙好？,"A、普通烤瓷牙性能特点：
使用时间长了以后容易出现基牙和冠套间微隙；刚性强，容易损伤基牙；抗腐蚀性一般，会释放金属离子；生物相容性差，一般使用半年到两年会出现明显的牙龈缘黑线，继续使用，陆续出现牙龈肿胀，牙龈萎缩等牙周病表现；牙齿色泽不自然，有“惨白”感，透明性差。总之，在与同类的对比中，贱金属烤瓷牙全面处于下风，不美观，使用年限短，对身体不好。
B、钛合金烤瓷牙性能特点：
使用时间长了以后容易出现基牙和冠套间微隙；刚性太强，容易损伤基牙；抗腐蚀性较好，会释放金属离子，比贱金属慢；生物相容性较差，会出现牙龈缘黑线，牙龈肿胀，牙龈萎缩等牙周病表现，只不过一切比普通烤瓷牙来得慢一些；牙齿色泽方面与普通烤瓷牙一样。总之，综合性能比普通烤瓷牙要好些，使用年限略长，。
C、贵金属烤瓷牙性能特点：
戴用的时间越长，与基牙的结合越紧密；刚性适合，有一定缓冲能力，对基牙保护好；抗腐蚀性优良，合金稳定，罕见释放金属离子；生物相容性好，不会出现牙龈缘黑线，不引起牙周病；作出的牙齿色泽自然，透明性良好，与自然牙齿接近。总之，在与同类的对比中，贵金属烤瓷牙全面领先，美观，使用年限长，可以作为终身修复，对身体无不良影响。且贵金属作为牙科用材料历史悠久，经历了时间的检验。
D、全瓷牙的性能特点：
全瓷牙冠的各项物理参数与天然牙齿很相近，是前牙的理想修复体，具有色泽稳定自然、导热低、不导电、耐磨耗，生物相容性优良等优点，因为内部没有金属结构，所以不透金属色，不会因为金瓷结合问题而崩瓷，其他因为金属引起的问题也都不存在了。但是，由于其脆性大而限制了应用，主要用于前牙修复。近年随着高强度的后牙铸瓷的出现，全瓷牙也可以用于后牙修复、缺牙的桥体修复。（个人认为：全瓷牙用于前牙理想，在后牙及桥体修复中还是贵金属稳妥。）
"
176,全瓷牙有什么优点？,"全瓷牙冠的各项物理参数与天然牙齿很相近，是前牙的理想修复体，具有色泽稳定自然、导热低、不导电、耐磨耗，生物相容性优良等优点，因为内部没有金属结构，所以不透金属色，不会因为金瓷结合问题而崩瓷，其他因为金属引起的问题也都不存在了。但是，由于其脆性大而限制了应用，主要用于前牙修复。近年随着高强度的后牙铸瓷的出现，全瓷牙也可以用于后牙修复、缺牙的桥体修复。（个人认为：全瓷牙用于前牙理想，在后牙及桥体修复中还是贵金属稳妥。）
"
177,我适合作全瓷牙吗？,全瓷牙的条件要求与金属烤瓷牙没什么太大差别，能做金属烤瓷牙的大部分都可以做全瓷牙，但是，对于牙齿尚在发育中的青少年牙齿和短小的牙齿，不建议做全瓷牙。
178,前几年做的烤瓷牙，现在牙龈变黑了，怎么解决？,牙龈变黑是因为烤瓷牙的金属基底成分不健康，会析出金属离子，对牙龈有刺激。解决的方法就是重新选择健康的烤瓷牙种类，比如贵金属烤瓷牙，或全瓷牙。
179,前牙做的烤瓷牙不好看，可以重做吗？,烤瓷牙不好看可能存在形态、颜色、透明度等方面的问题，重做一般可以解决。重做的前提是基牙是健康的，并应在重做前将各方面的问题与医生沟通，以便在重做过程中重点解决。
180,以前做的烤瓷牙掉了，可以重新粘上吗？,制作精良的烤瓷牙一般不会脱落的，如果脱落，很可能烤瓷牙内冠与基牙已经不密合了，而把不密合的烤瓷牙重新粘上，对基牙的健康是不利的。所以，脱落的烤瓷牙如果不密合了，建议重作。如果还密合，只是因为基牙短小而脱落，可以重粘。
181,我刚做的烤瓷牙，戴上后这几天感觉有些酸痛，有没有问题？,是由于磨切牙齿比较接近牙神经，或牙根需要适应新的牙齿形态，一般只是一个适应的过程，如果酸痛持续存在并有加重的趋势，需要引起重视，及时复诊。
182,种植牙比烤瓷牙有何优点？,目前缺牙的理想修复方法之一是种植牙，既在缺牙处植入人工牙根，再在人工牙根基础上把牙齿修复好。与烤瓷牙桥体相比，种植牙的优点是不必把两边的健康牙齿磨小，另外，因为修复的牙齿有自己的牙根，受力更合理。
183,种植牙修复过程需要多久？,种植牙从牙根植入到修复完成大约需要4-8月，这主要包括人工牙根与骨头整合的时间，下牙一般要3月左右，上牙一般需要6月左右。
184,种植牙手术是不是很可怖？,种植牙手术是一个很小的手术，相当于一个普通的拔牙术，过程无痛，时间大约半小时。
185,我可以做种植牙吗？,种植牙的适应症很广，可以用于大部分缺牙的修复，只要牙槽骨有足够的高度和宽度，缺牙处有足够的空间，身体健康，就可以了。
186,我一口烂牙，想全拔了换一口好的，可行吗？,至少这不是一个好办法。即使一口烂牙也不可能一颗有利用价值的也没有吧，只要有利用价值，哪怕是一个牙根，也该保留。目前为解决全口义齿固位不良，常常植入人工牙根作基牙，由此可见，将口腔内仅存的少数好牙齿拔除，换一付全口义齿，实在令人惋惜。
187,什么叫磁性固位体？,磁性固位体是把磁性应用于活动义齿的修复技术。就是把一对磁铁一个放在活动义齿内，另一个放在对应位置的牙根内，当义齿戴入口内一对磁铁相互吸附产生固位力，使义齿稳固不脱落。
188,什么叫精密附着体？,精密附着体分为阴阳两部分，例如栓体与栓道构成的插销结构，栓体位于基牙上，栓道位于活动义齿上，当义齿戴入口内，栓体便插入栓道，由于这种阴阳结构密切吻合，实现稳定的连接与固位。
189,什么叫套筒冠义齿？,套筒冠义齿是一种先进的活动义齿。套筒冠由内冠、外冠构成，内冠在基牙上，外冠在义齿上，义齿戴入时通过内外冠之间的嵌合作用产生固位力，使义齿稳定不脱落。
190,戴活动假牙后牙龈疼痛？,活动义齿与牙龈有一个相互适应磨合的过程，在此过程中，有可能出现疼痛，并可能出现牙龈局部破溃，您需要复诊，医生会参考引起疼痛的位置调磨义齿，使之与您的牙床想适应。
191,什么是窝沟封闭？为什么要做窝沟封闭？一般在孩子多大岁数做最好？,窝沟封闭是指刚刚萌出的牙齿有较深的窝沟，不易清洁，易患龋，可以预 防性的将充填材料填入到窝沟内，封闭窝沟预防龋齿。窝沟封闭可以有效降低龋 齿的发生率。故窝沟封闭的最佳年龄是在 6-8 岁保护第一恒磨牙，在 11-13 岁保 护第二恒磨牙。乳牙一般不进行窝沟封闭，但如果孩子的患龋风险较高，医生也 会视情况对乳磨牙进行窝沟封闭。
192,小孩有虫牙了，有人说小孩的乳牙终要替换，治疗没有意义，是这样吗？,这种说法不对。乳牙虽然最终要被恒牙替换，但乳牙的功能会因为龋齿而 受到影响，比如咀嚼、发音和美观，严重时甚至有可能会影响继替恒牙的发育 和萌出，最终导致恒牙列的异常，所以乳牙的龋病也要及时治疗。
193,如何预防乳牙龋坏?,养成良好的饮食及口腔卫生习惯，家长应让宝宝少进食含糖量高的食物，如 宝宝较小或没有自理能力，则家长应用纱布、牙刷帮宝宝清洁牙齿，并经常用清 水漱口。使用沟隙封填剂，减少蛀牙机会。有些牙齿上面有凹凸不平的沟隙(尤 其是咬合面，家长很难用牙刷清洁，所以蛀牙很容易从这些缝隙开始，建议可请 儿童牙科专科医生使用沟隙封填剂(一种透明或有色树脂)，把沟隙填平，以利于 清洁，减少蛀牙的机会。
194,十二岁后的小孩拔牙齿还会长吗,拔除的牙齿是否可以再长，要根据拔除的是滞留的乳牙还是恒牙。如果是滞 留的乳牙且下面有恒牙胚，则是可以长出新牙的，但是如果拔除的是恒牙，则就 不会再长出牙齿。
195,为什么有些孩子会常常长“牙疱”,在临床工作中，家长们所说的“牙疱”大多数是指在牙龈上长出的小脓肿。 这些小脓肿往往是由于乳牙患有严重的龋病，致使牙髓组织发炎，并最终发展成 牙根根尖周炎引起的。这种小脓肿可自行破溃，如果患牙一直未给予彻底处理， 它会反复发作。乳牙牙髓炎及根尖周炎不仅会影响患者的咀嚼，美观，发育，炎 症的长期存在还会影响继承牙胚（相应的还没有长出的恒牙）的外形与萌出。
196,小孩要刷牙吗,要，牙齿未萌出时母亲可以用纱布蘸温盐水缠在食指上在婴儿饭后擦拭其牙 床，长出第一个牙齿后即应当开始帮助孩子刷牙，两三岁后逐渐锻炼孩子自己刷 牙。
197,虫牙和遗传有关系吗,目前的研究认为，环境因素对龋病的发生有较大的影响，遗传因素也有一定 的关系。这些遗传因素可能影响到口腔的各个方面，如牙釉质的结构、牙齿大小 形态、咬合面窝沟深浅和牙弓形态以及唾液的缓冲能力等。我们注意到，不同种 族的龋病流行情况有所不同。但不同的饮食结构、微量元素的摄入量、不同的生 活方式，甚至不同的气候和土壤，都可能是造成种族间龋病流行差别的外在原因。
198,婴儿牙齿变黑是怎么回事,婴幼儿牙齿变黑脱落，属于牙釉质发育不全。钙是构成牙釉质的主要物质， 婴幼儿缺钙使牙釉质粗糙凹凸不平，易残留食物碎屑。口腔中的乳酸杆菌附在釉 质表面形成菌斑，菌斑内的细菌不断分解食物，产生大量的有机酸，腐蚀釉质发 育不全的牙齿，牙齿的颜色由白色逐渐变褐、变黑，一点点脱落。婴幼儿及时补 钙可有效预防龋齿的发生。
199,为什么小孩子的牙齿黄黄的,刚长出的乳牙是白色，但若口腔卫生不良则会有黄色的牙菌斑附着其上，牙齿看起来便黄黄的，若牙齿已有脱钙现象，也会呈现局部的黄或白色斑块。牙菌 斑经由刷牙便可去除，初期的脱钙可经由唾液内的离子成份，或牙齿表面涂氟来 预防其再钙化。
200,6岁以后长的牙就不再换了吗,正常情况下，6 岁口腔内萌出第一颗恒牙，6~12 岁口腔内的乳牙相继被恒牙 替换。11~13 岁长出第二恒磨牙，21 岁左右长第三磨牙俗称智齿（部分人不会长）， 此时形成完整的恒牙列，恒牙是我们终身享用的咀嚼器官，因此不会再换了。
201,洗牙能除口臭吗,"口臭是指口内出气臭秽的一种病症，多表现为呼气时有明显臭味，刷牙漱口 难以消除，是一股发自内部的臭气。贪食辛辣食物或暴饮暴食，疲劳过度，感邪 热，虚火郁结，或某些口腔疾病，如口腔溃疡、龋齿以及消化系统疾病都可以引 起。对于洗牙是否能去除口臭，这要依情况而定，如果是口腔卫生问题，如牙周 病、牙结石或牙齿中食物残渣堆积太多引起的口臭，通过洗牙是可以达到去除口 臭的目的。
洗牙虽然能够缓解口臭的症状，但由于血液及唾液是很多传染病传播的媒 介，爱美者切忌贪图一时的便宜，选择消毒不过关的医疗诊所洗牙。只有选择正 规的口腔美容医院，才能保障洗牙的安全性。
我们时代口腔一直遵循医疗无菌操作理念，严格执行着“一人一用一消毒” 无菌诊疗模式，有效地杜绝了肺结核、肝炎、艾滋病等各种传染性疾病的交叉感 染。一切以病人为中心，尊重、理解、关怀、服务每一位顾客。"
202,洗完牙我的牙遇冷热不舒服，为什么,其实牙石好像大棉袄，一旦脱去，牙齿暴露在“久违“的环境里，就会产生 种种异样的感觉。如果是健康的牙齿，1~2 周后，异样感会消失。
203,洁牙能使牙齿变白吗,洁牙的目的是清洁牙齿，维护牙周组织健康。洗牙可以清除牙齿表面的咖 啡渍，茶渍和烟渍及日积月累的牙石，所以洗牙只能让牙齿变干净并不是变白。 想让牙齿变白可以做冷光美白，贴面及美容冠等。
204,洁牙会损伤牙龈导致牙龈出血吗,其实出血的多少往往是炎症程度的反映，这种情况类似于刷牙出血，不能 因为出血就不去刷牙或洗牙，相反，只有认真刷牙，洗牙才能消除炎症，炎症控 制或消除后牙龈出血会逐渐减轻或消失。
205,洁牙是不是就可以治疗牙周炎,对于中重度牙周炎患者，洁牙只是系统治疗的第一步，洁牙完成后需复诊 进行进一步治疗。
206,超声波洗牙适合什么人？什么人不能做,凡患有牙龈炎和牙周炎以及牙表面有色素沉着的人都需要洗牙。超声波洗牙 禁用于置有心脏起搏器、血液病如急性白血病、再生障碍性贫血，爱滋病的患者。 未受控制病情的糖尿病、高血压、急性牙周脓肿应暂缓洗牙。
207,喷砂洗牙是什么,喷砂是使用特制的喷砂牙粉(以碳酸氢钠粉末为主要成分)，通过喷砂手机 头喷向牙面来去除牙菌斑和色素的。此法特适用于清理超声波洁牙机工作头不易 到达的部位，对于牙面色素的清理效率也远高于超声波洁牙机。 一般口腔医院是将超声洁牙和喷砂洁牙相结合，使牙齿得到更彻底的清洁，再加上之后氟保 护剂的涂抹，更是完美。
208,牙周炎有哪些症状呢,牙周炎的四大症状：牙龈出血，牙齿松动，牙槽骨吸收，牙周袋形成牙龈 萎缩。
209,牙周病吃药管用吗,对于急性炎症的患者可以服用抗生素，但无法解决根本问题，可等炎症得到 控制及改善症状后，再进行局部治疗，例如彻底清除牙垢，牙石或拆除不良修复 体，这样既治标又治本。
210,为什么会有牙周炎,牙周炎是侵犯牙龈和牙周组织的慢性炎症，是一种破坏性疾病，其主要特征 为牙周袋的形成及袋壁的炎症，牙槽骨吸收和牙齿逐渐松动，它是导致成年人牙 齿丧失的主要原因。本病多因菌斑，牙石，食物嵌塞，不良修复体，咬创伤等引 起，牙龈发炎肿胀，同时使菌斑堆积加重，并由龈上向龈下扩延。由于龈下微生 态环境的特点，龈下菌斑中滋生着大量毒力较大的牙周致病菌，如牙龈类杆菌，中间类杆菌，螺旋体等，使牙龈的炎症加重并扩延，导致牙周袋形成和牙槽骨吸收，造成牙周炎。
211,牙周炎会有哪些危害,牙周炎的症状，主要表现为牙龈红肿、出血，不仅在刷牙时出血，有时在说 话或咬硬物时也要出血，牙龈颜色暗红，由于水肿显得比较光亮。此外，还有牙 周袋形成，在正常情况下，牙龈附着在牙齿上的龈沟仅深零至两毫米，超过两毫 米则为牙周袋。牙周袋的形成说明炎症已从牙龈发展到牙周支持组织，使较深层 的牙周组织感染，慢性破坏，脓性分泌物可以从牙周袋溢出。早期的牙周炎牙齿 不松动，只有在慢性破坏性炎症发展到一定的程度，牙周组织支持力量大为减弱 时，才可以导致牙齿松动。牙龈退缩也是牙周炎的症状之一，但患者常不易察觉。 局部因素引起的牙周炎，由于长时间受大量牙石的压迫，刺激牙龈，所以，龈缘 外形出现水平式的退缩。至于老年性的牙周组织退缩，一般属于生理情况。一方 面是因为牙周组织本身的退缩；另一方面是由于牙齿的磨耗而使牙齿继续萌出， 形成牙根面暴露。由于牙根面的暴露，对冷、热、甜、酸食物或机械性刺激，都 有敏感的表现。但也有的是生理和病理的因素同时存在。
212,为什么要矫正牙齿,随着人们健康意识的提高和对美的不断追求，越来越多的人开始选择进行牙齿矫正。尤其对于儿童而言，不仅容易产生异常的心理活动，还会很大程度上影响口腔功能，如咀嚼，发音，呼吸等功能。如果不及时治疗，在儿童生长发育期 间的错畸会影响口腔以及颜面部软硬组织的发育，引起面部的明显畸形！
213,儿童正畸的最佳治疗时间是几岁,一般来说，大多数错牙合畸形的最佳矫正时间是 10~14 岁左右，因为这个时期 的儿童牙齿刚刚换完，身体正处于青春发育期，代谢旺盛，有一定的发育潜力， 因此牙的移动效果显著，往往能起到事半功倍的效果。
214,成人是否可以进行牙齿矫正？戴上矫治器说话和笑的时候会不会很难看 啊,成人矫正牙齿没有年龄限制，只要没有牙周炎、颞颌关节疾病又不是骨性错 牙合，都可以做正畸。成人正畸主要是解决功能和美观问题，您无需担心，例如，口腔医院有一款陶瓷托槽，它的颜色和牙齿颜色相近，戴上不易被察觉，是成人矫正一个不错的选择，那样您就可以在整个过程中保持您自信的笑容。
215,正畸治疗一般需要多长时间,根据错牙合畸形程度、类型、患者的配合和治疗的时机等因素的不同，患者 正畸的疗程也不尽相同。一般而言，疗程为 1~2 年，如果患者配合良好，治疗时 间还可相应缩短。
216,矫治器是不是还分很多种,是的，我们口腔目前有三种：普通的金属托槽；自锁托槽和陶瓷托槽。自锁 托槽相对于普通金属托槽可以减少您的复诊次数，并且没有开关阻挡，极大的改善了治疗中您的口腔卫生护理问题。陶瓷托槽它的颜色与牙齿的颜色相近，不宜 被人察觉，所以成人正畸选择的比较多。
217,配戴矫治器会影响正常生活吗？在你们那做放心吗,矫治结束后牙齿易复发，需要戴用保持器以阻止复发，一般情况下，需要 2 年时间，前期 6 个月左右要求患者昼夜戴用，一年以后才大幅度减少保持时间，一般只夜间戴用，这需要在复诊时由医生根据保持效果来决定。成人患者保持时 间相应延长，甚至需要终身佩戴。
218,矫治结束后，保持器需要戴多长时间,矫治结束后牙齿易复发，需要戴用保持器以阻止复发，一般情况下，需要 2 年时间，前期 6 个月左右要求患者昼夜戴用，一年以后才大幅度减少保持时间，一般只夜间戴用，这需要在复诊时由医生根据保持效果来决定。成人患者保持时 间相应延长，甚至需要终身佩戴。
219,矫正牙齿为什么需要拔牙,有了拔除牙齿的空间，我们就可以自如的：矫治拥挤、使前牙后收矫治面 形前突、纠正咬牙合关系。应当提醒的是，拔牙是破坏性治疗，正畸患者是需要拔 牙矫治，是由正畸医生在对患者错牙合畸形进行全面检查、分析后决定的，因此在 治疗前，不可盲目的听信没有专业知识人员的建议，以免轻率的拔除牙齿而造成 不可弥补的损失。
220,戴上矫治器怎么清洁啊,在您每次进餐或零食后，请将牙齿彻底刷干净。建议您随身携带一把牙刷， 这样你就可以离家在外时也能刷牙了。如果您没有在进餐后马上刷牙，请确保至 少在您能刷牙前，仔细用水漱口。每天至少一次，彻底的刷牙及刷洗您的牙套。
221,糖尿病人牙痛可以拔牙吗,糖尿病作为代谢性内分泌疾病，病人术后发生感染的可能性高于常人， 伤口的愈合因蛋白合成障碍可能延迟，糖尿病病人在接受胰岛素治疗时， 拔牙最好在餐后 1-2 小时进行，因此时药物作用最低，拔牙时空腹血糖控 制在 8.88mmol/L 以下为宜，未控制且严重的糖尿病应暂缓拔牙，术后应注 意进食情况，继续控制血糖，可考虑预防性使用抗生素。
222,拔牙很痛苦吗,随着麻醉药品的更新和新的拔牙技术出现，拔牙几乎可以做到无痛。
223,拔牙会感染传染病吗,"口腔医院有着正规的消毒室，一直遵循医疗无菌操作理念，严格执行 着“一人一用一消毒”无菌诊疗模式，一切以病人为中心，尊重、理解、关怀、 服务每一位顾客。在治疗当中所用到的非一次性器械都是进行了高温高压灭菌消毒，绝对达到了 100%灭菌，所以根本不可能染上传染病，请您放心。
"
224,什么样的牙要拔除,随着口腔技术的提高，过去许多需要拔除的牙齿现在已经可以治疗了，而对于那些无法治疗的残冠、根，阻生牙，滞留乳牙，多生牙则需要拔除。
225,怎样预防牙周病,（1）养成良好的口腔卫生习惯，应用正确的刷牙方法进行有效地刷牙，提倡应用牙线去除牙间隙的菌斑。（2）定期作口腔保健检查。最好每半年一次。 （3）定期进行洁治，每半年至一年做一次口腔洁治(俗称洗牙)，保持健康的牙龈和稳固的牙齿，有效预防牙周炎。(4)合理饮食，加强身体锻炼，提高机体抵 抗力。
226,牙齿残根要拔除吗,当全口多数牙齿缺失时，保留残根也有利于假牙的固位和稳定，提 高咀嚼效率。当然，如果残根状况很差或已经松动，则应果断地拔除， 千万不能姑息，以免出现戴牙后疼痛，有时还不得不重新镶牙。
227,拔牙后多长时间创口才能愈合,拔牙后 15-30 分钟后出血停止，形成血凝块，封闭创口；一般 7 天 就可以拆线了，此时血凝块被肉芽所代替，术后 5-8 天形成新骨；3 月 后才能完全形成骨组织；这是拔牙创口愈合的基本流程，此过程因拔牙 的情况不同和牙槽骨的不同变化很大。
